rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
171,188,3.2668224323790014,2.287211584191766,0.9796108481872352
172,191,3.335440769752779,2.344499839948014,0.9909409298047649
173,182,4.107656265515686,2.9589870736631667,1.1486691918525196
174,236,3.7728096035448857,2.7123908069320635,1.0604187966128222
175,238,3.204262899413777,2.2391379986746642,0.965124900739113
176,47,3.7417405710682488,2.62925118351032,1.112489387557929
177,29,3.1258850400517986,2.1938327449610426,0.9320522950907559
178,33,4.025299682594664,2.935792970071219,1.0895067125234448
179,186,3.0570436177601437,2.1302345473547746,0.9268090704053691
180,248,3.3752251960833632,2.4187109175684043,0.956514278514959
181,237,3.225288197078214,2.272469623846405,0.9528185732318093
